基準地の１平方メートル当たり価格（円）,基準地の地積（m2）,基準地の鉄道その他の主要な交通施設との接近状況,ガス,下水,水道,鉄筋コンクリート造,鉄骨造,木造,ホテル,事務所,住宅,工場,店舗,銀行
22100,259,2100.0,0,1,1,0,0,1,0,0,1,0,0,0
9900,435,1900.0,0,0,1,0,0,1,0,0,1,0,0,0
20000,217,700.0,0,0,1,0,0,1,0,0,1,0,0,0
5490,822,2800.0,0,0,1,0,0,1,0,0,1,0,0,0
33000,247,2600.0,0,1,1,0,1,0,0,0,0,0,1,0
43200,878,1100.0,0,0,1,0,0,1,0,0,0,0,0,0
39600,429,3300.0,0,1,1,0,1,0,0,0,0,0,1,0
4550,460,700.0,0,0,1,0,0,1,0,0,1,0,0,0
5500,404,400.0,0,0,1,0,0,1,0,0,1,0,0,0
26600,232,2900.0,0,0,1,0,0,1,0,0,1,0,0,0
24200,349,1700.0,0,0,1,0,0,1,0,0,1,0,0,0
16100,221,3300.0,0,0,1,0,0,1,0,0,1,0,0,0
20200,165,2000.0,0,0,1,0,0,1,0,0,1,0,0,0
10100,530,2300.0,0,0,1,0,0,1,0,0,1,0,0,0
25900,173,1600.0,1,1,1,0,0,1,0,0,1,0,0,0
27100,2387,1900.0,0,0,1,0,1,0,0,0,0,0,1,0
34300,959,1600.0,0,0,1,0,1,0,0,0,0,0,1,0
28700,225,280.0,0,1,1,1,0,0,0,1,0,0,0,0
20500,425,7000.0,0,1,1,0,0,1,0,0,1,0,0,0
25800,251,4900.0,0,1,1,0,0,1,0,0,1,0,0,0
32000,353,3000.0,0,1,1,0,0,1,0,0,1,0,0,0
37400,208,1600.0,0,0,1,0,0,1,0,0,1,0,0,0
36000,423,2800.0,0,1,1,0,0,1,0,0,1,0,0,0
24500,311,3600.0,0,1,1,0,0,1,0,0,1,0,0,0
54400,1411,1500.0,0,0,1,0,1,0,0,0,0,0,1,0
3570,224,22000.0,0,0,1,0,0,1,0,0,1,0,0,0
8300,174,33000.0,0,0,1,0,0,1,0,0,1,0,0,0
19500,238,760.0,1,0,1,0,0,1,0,0,1,0,0,0
14200,504,1200.0,0,0,1,0,0,1,0,0,1,0,0,0
8950,226,8800.0,0,0,1,0,0,1,0,0,1,0,0,0
5290,379,11000.0,0,0,1,0,0,1,0,0,1,0,0,0
10500,751,4400.0,0,1,1,0,0,1,0,0,1,0,0,0
19700,471,350.0,0,1,1,0,1,0,0,0,1,0,0,0
20500,408,1200.0,0,1,1,0,0,1,0,0,1,0,0,0
26800,480,640.0,0,1,1,0,0,1,0,0,1,0,0,0
6500,718,8000.0,0,0,1,0,0,1,0,0,1,0,0,0
7800,255,5500.0,0,1,1,0,1,0,0,0,1,0,0,0
25500,196,1400.0,0,1,1,0,0,1,0,0,1,0,0,0
30000,257,980.0,0,1,1,0,0,1,0,0,0,0,1,0
13000,151,1400.0,0,1,1,0,0,1,0,0,1,0,0,0
4300,1108,8700.0,0,1,1,0,0,1,0,0,1,0,0,0
14600,260,840.0,0,1,1,0,0,1,0,0,1,0,0,0
9650,429,5500.0,0,1,1,0,0,1,0,0,1,0,0,0
22000,209,380.0,0,1,1,0,0,1,0,0,0,0,1,0
8200,394,9800.0,0,0,1,0,0,1,0,0,1,0,0,0
81700,230,13600.0,0,1,1,0,0,1,0,0,0,0,1,0
101000,267,13900.0,0,1,1,0,0,1,0,0,0,0,1,0
7550,331,12000.0,0,1,1,0,0,1,0,0,1,0,0,0
8100,806,1800.0,0,0,1,0,0,1,0,0,1,0,0,0
27700,280,850.0,0,1,1,0,0,1,0,0,1,0,0,0
11800,503,2500.0,0,0,1,0,0,1,0,0,1,0,0,0
8300,279,650.0,0,1,1,0,0,1,0,0,1,0,0,0
36100,298,500.0,0,1,1,0,0,1,0,0,0,0,1,0
8000,570,27000.0,0,1,1,0,0,1,0,0,1,0,0,0
7200,360,34000.0,0,1,1,0,0,1,0,0,1,0,0,0
21000,249,29000.0,0,0,1,0,0,1,0,0,0,0,1,0
11600,414,11000.0,0,1,1,0,0,1,0,0,1,0,0,0
7400,803,12800.0,0,1,1,0,0,1,0,0,1,0,0,0
10300,621,4000.0,0,1,1,0,0,1,0,0,1,0,0,0
11900,330,4600.0,0,1,1,0,0,1,0,0,1,0,0,0
14100,330,2600.0,0,0,1,0,0,1,0,0,1,0,0,0
11100,581,4600.0,0,0,1,0,0,1,0,0,1,0,0,0
17900,273,2500.0,0,0,1,0,0,1,0,0,1,0,0,0
15600,522,1100.0,0,0,1,0,0,1,0,0,1,0,0,0
11800,194,1500.0,0,0,1,0,0,1,0,0,1,0,0,0
17800,314,2300.0,0,1,1,0,0,1,0,0,1,0,0,0
13700,272,14500.0,0,1,1,0,0,1,0,0,1,0,0,0
26500,596,1100.0,0,1,1,0,1,0,0,0,0,0,1,0
30200,60,,0,1,1,0,0,1,0,0,0,0,1,0
26000,671,2300.0,0,1,1,0,0,1,0,0,0,0,1,0
34700,192,4500.0,0,1,1,0,0,1,0,0,1,0,0,0
32000,203,5200.0,0,1,1,0,0,1,0,0,1,0,0,0
32700,331,4500.0,0,1,1,0,0,1,0,0,1,0,0,0
43400,466,4400.0,0,1,1,0,1,0,0,0,0,0,1,0
21600,236,4700.0,0,0,1,0,1,0,0,0,1,0,0,0
12800,495,3200.0,0,0,1,0,0,1,0,0,1,0,0,0
18100,300,5300.0,0,0,1,0,0,1,0,0,1,0,0,0
27300,203,700.0,0,1,1,0,0,1,0,0,1,0,0,0
27100,183,500.0,0,1,1,0,0,1,0,0,1,0,0,0
16000,396,1600.0,0,0,1,0,0,1,0,0,1,0,0,0
16200,20128,3900.0,1,0,1,0,0,0,0,0,0,1,0,0
22300,234,5200.0,0,1,1,0,0,1,0,0,1,0,0,0
20800,396,5000.0,0,0,1,0,0,1,0,0,1,0,0,0
13800,318,5700.0,0,0,1,0,1,0,0,0,1,0,0,0
